"n" "ministere_client_" "code_naf" "siren" "direction" "date_prev" "fournisseur_actuel_d_electricite" "nom_du_site" "adresse" "code_postal" "ville" "siret" "rae" "type_de_tarif" "tension_de_raccordement" "p_16" "hph_17" "hch_18" "hpe_19" "hce_20" "hh_ejp_21" "p_ejp_22" "p_23" "hph_24" "hch_25" "hpe_26" "hce_27" "hh_ejp_28" "p_ejp_29" "p_30" "hph_31" "hch_32" "hpe_33" "hce_34" "hh_ejp_35" "p_ejp_36" "total" "electricite_100_verte_oui_non_"
"1" 1 "Cour des Comptes" "8411Z" 110000288 "CRC" 2015-11-01 "EDF" "COUR DES COMPTES  MATERIEL" "9 RUE CAMBON" "75001" "PARIS 01" "11000028800016" "30000710033711" "VERT Base A5 MU" "HTA SDT (2)" "370" "370" "370" "370" "370" NA NA NA NA NA NA NA NA NA "251550" "203076" "623544" "421114" "81446" NA NA "1580730" "OUI"
"2" 38 "Ministère de l'agriculture, de l'alimentation et de la forêt" "84.11Z" 110070018 "DRAAF Champagne Ardennes" NA "EDF" "DRAAF Champagne Ardennes" "ROUTE DE SUIPPES" "51000" "CHALONS EN CHAMPAGNE" "13000671100019" "30000430427991" "VERT A5 OPTION BASE MU" "HTA1" "250" "250" "250" "250" "250" NA NA "274" "263" "266" "201" "247" NA NA "53078" "183922" "118733" "101281" "55538" NA NA "512552" "OUI"
"3" 39 "Ministère de l'agriculture, de l'alimentation et de la forêt" "84.11Z" 110070018 "DRAAF Bretagne" NA "EDF" "DRAAF Bretagne" "15 AVENUE DE CUCILLE" "35047" "RENNES CEDEX 9" "13000709900018" "30001440689341" "VERT A5 OPTION BASE MU" "HTA1" "260" "260" "420" "420" "420" NA NA "248" "258" "398" "247" "95" NA NA "32932" "182755" "227940" "126251" "76738" NA NA "646616" "OUI"
"4" 40 "Ministère de l'agriculture, de l'alimentation et de la forêt" "84.11Z" 110070018 "SG" NA "EDF" "MAAF VARENNE" "80 RUE DE VARENNE" "75007" "PARIS" "11007001800012" "30000730176813" "VERT A5 OPTION BASE LU" "HTA1" "400" "400" "400" "400" "400" NA NA "349" "355" "193" "318" "166" NA NA "70310" "361404" "181747" "515001" "230791" NA NA "1359253" "OUI"
"5" 41 "Ministère de l'agriculture, de l'alimentation et de la forêt" "84.11Z" 110070018 "DGAL" NA "EDF" "MAAF VAUGIRARD" "251 RUE DE VAUGIRARD" "75015" "PARIS" "11007001800145" "30000741251553" "VERT A5 OPTION BASE MU" "HTA1" "400" "400" "400" "400" "400" NA NA "236" "240" "129" "307" "167" NA NA "63166" "279655" "156540" "430507" "216507" NA NA "1146375" "OUI"
"6" 42 "Ministère des affaires étrangères et du développement international" "84.11Z" 110006012 "DAGN" NA "EDF" "MINISTERE DES AFFAIRES ETRANGERES/BREIL 3" "28 RUE DE MALVILLE" "44100" "NANTES" NA "30001420201238" "VERT Base A5 LU" "HTA1" "630" "630" "630" "630" "630" NA NA "351" "347" "320" "370" "305" NA NA "87259" "476171" "398312" "736504" "530479" NA NA "2228725" "OUI"
"7" 43 "Ministère des affaires étrangères et du développement international" "84.11Z" 110006012 "DAGN" NA "EDF" "MINISTERE DES AFFAIRES ETRANGERES/BREIL4" "RUE DE LA MAISON BLANCHE" "44100" "NANTES" NA "30001420869544" "VERT Base A5 MU" "HTA1" "480" "480" "480" "480" "480" NA NA "445" "479" "236" "456" "204" NA NA "80628" "465794" "207976" "735696" "294368" NA NA "1784462" "OUI"
"8" 44 "Ministère des affaires étrangères et du développement international" "84.11Z" 110006012 "DIL" NA "EDF" "MINISTERE AFFAIRES ETRANGERES" "37, QUAI D'ORSAY-130, RUE DE L'UNIVERSITE" "75007" "PARIS" NA "30000730180769" "VERT Base A5 LU" "HTA1" "960" "960" "960" "960" "960" NA NA "899" "907" "639" "849" "597" NA NA "286744" "1406573" "923618" "1775750" "972026" NA NA "5364711" "OUI"
"9" 45 "Ministère des affaires étrangères et du développement international" "84.11Z" 110006012 "DIL" NA "EDF" "MINISTERE AFFAIRES ETRANGERES" "15 RUE SUZANNE MASSON" "93120" "LA COURNEUVE" NA "30002252245135" "VERT Base A5 CU" "HTA1" "480" "480" "480" "480" "480" NA NA "513" "658" "490" "371" "480" NA NA "87636" "492592" "365300" "902395" "610767" NA NA "2458690" "OUI"
"10" 46 "Ministère des affaires étrangères et du développement international" "84.11Z" 110006012 "DIL" NA "EDENKIA" "MINISTERE AFFAIRES ETRANGERES" "27 rue de la Convention" "75015" "PARIS" NA "30000741880966" "Offre de marché (dispose d'un contrat CARD - Site C2)" "HTA1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "4418000" "OUI"
